case,algo,seed,timestep,eval_return_mean,eval_success_rate,eval_hole_rate,eval_episode_length_mean
case2_slippery_4x4,DQN-Safe,1,4000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,1,6000,0.63,0.63,0.26,41.9
case2_slippery_4x4,DQN-Safe,1,8000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,1,10000,0.405,0.405,0.21,62.935
case2_slippery_4x4,DQN-Safe,1,12000,0.425,0.425,0.205,61.815
case2_slippery_4x4,DQN-Safe,1,14000,0.415,0.415,0.365,50.265
case2_slippery_4x4,DQN-Safe,1,16000,0.46,0.46,0.175,63.105
case2_slippery_4x4,DQN-Safe,1,18000,0.6,0.6,0.265,46.49
case2_slippery_4x4,DQN-Safe,1,20000,0.63,0.63,0.26,41.9
case2_slippery_4x4,DQN-Safe,1,22000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,1,24000,0.455,0.455,0.2,60.915
case2_slippery_4x4,DQN-Safe,1,26000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,1,28000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,1,30000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,1,32000,0.455,0.455,0.2,60.915
case2_slippery_4x4,DQN-Safe,1,34000,0.63,0.63,0.26,41.9
case2_slippery_4x4,DQN-Safe,1,36000,0.435,0.435,0.17,64.04
case2_slippery_4x4,DQN-Safe,1,38000,0.455,0.455,0.2,60.915
case2_slippery_4x4,DQN-Safe,1,40000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,1,42000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,1,44000,0.465,0.465,0.175,61.705
case2_slippery_4x4,DQN-Safe,1,46000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,1,48000,0.63,0.63,0.26,41.9
case2_slippery_4x4,DQN-Safe,1,50000,0.55,0.55,0.105,61.13
case2_slippery_4x4,DQN-Safe,1,52000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,1,54000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,1,56000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,1,58000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,1,60000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,2,2000,0.345,0.345,0.64,30.35
case2_slippery_4x4,DQN-Safe,2,4000,0.55,0.55,0.125,60.785
case2_slippery_4x4,DQN-Safe,2,6000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,8000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,2,10000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,2,12000,0.63,0.63,0.26,41.9
case2_slippery_4x4,DQN-Safe,2,14000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,16000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,2,18000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,20000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,22000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,2,24000,0.55,0.55,0.1,62.88
case2_slippery_4x4,DQN-Safe,2,26000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,28000,0.63,0.63,0.26,41.9
case2_slippery_4x4,DQN-Safe,2,30000,0.55,0.55,0.125,60.785
case2_slippery_4x4,DQN-Safe,2,32000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,34000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,36000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,38000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,40000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,42000,0.63,0.63,0.26,41.9
case2_slippery_4x4,DQN-Safe,2,44000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,46000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,48000,0.55,0.55,0.125,60.785
case2_slippery_4x4,DQN-Safe,2,50000,0.55,0.55,0.125,60.785
case2_slippery_4x4,DQN-Safe,2,52000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,54000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,56000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,2,58000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,2,60000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,2000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,4000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,6000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,8000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,10000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,12000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,14000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,16000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,18000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,20000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,22000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,24000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,26000,0.55,0.55,0.125,60.785
case2_slippery_4x4,DQN-Safe,3,28000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,30000,0.55,0.55,0.1,62.88
case2_slippery_4x4,DQN-Safe,3,32000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,34000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,3,36000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,3,38000,0.55,0.55,0.125,60.785
case2_slippery_4x4,DQN-Safe,3,40000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,3,42000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,3,44000,0.55,0.55,0.1,62.88
case2_slippery_4x4,DQN-Safe,3,46000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,3,48000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,3,50000,0.55,0.55,0.1,62.88
case2_slippery_4x4,DQN-Safe,3,52000,0.57,0.57,0.415,31.57
case2_slippery_4x4,DQN-Safe,3,54000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,3,56000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,3,58000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,3,60000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,2000,0.2,0.2,0.74,37.32
case2_slippery_4x4,DQN-Safe,4,4000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,4,6000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,4,8000,0.46,0.46,0.175,63.105
case2_slippery_4x4,DQN-Safe,4,10000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,4,12000,0.275,0.275,0.725,25.23
case2_slippery_4x4,DQN-Safe,4,14000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,4,16000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,18000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,20000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,22000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,24000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,26000,0.685,0.685,0.285,34.78
case2_slippery_4x4,DQN-Safe,4,28000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,30000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,32000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,34000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,36000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,38000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,40000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,42000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,44000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,46000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,48000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,50000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,52000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,54000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,56000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,4,58000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,4,60000,0.74,0.74,0.165,42.49
case3_hard_slippery_8x8,DQN-Safe,0,2000,0.0,0.0,0.74,66.305
case3_hard_slippery_8x8,DQN-Safe,0,4000,0.0,0.0,0.6,76.145
case3_hard_slippery_8x8,DQN-Safe,0,6000,0.03,0.03,0.505,81.135
case3_hard_slippery_8x8,DQN-Safe,0,8000,0.0,0.0,0.3,88.775
case3_hard_slippery_8x8,DQN-Safe,0,10000,0.03,0.03,0.545,75.77
case3_hard_slippery_8x8,DQN-Safe,0,12000,0.0,0.0,0.435,82.77
case3_hard_slippery_8x8,DQN-Safe,0,14000,0.0,0.0,0.275,89.585
