case,algo,timestep,n_seeds,success_rate_mean,success_rate_std,success_rate_ci95,avg_return_mean,avg_return_std,avg_return_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case2_slippery_4x4,PPO,38000,5,0.4849999999999999,0.18020821290940098,0.1579594631543169,0.4849999999999999,0.18020821290940098,0.1579594631543169,0.48100000000000004,0.21063594185228693,0.18463054351867136,29.937,11.025819470678814,9.6645568828788
case2_slippery_4x4,PPO,40000,5,0.479,0.2072257223416051,0.18164135432219175,0.479,0.2072257223416051,0.18164135432219175,0.488,0.24118457662130885,0.21140760251230323,30.361,11.807886876998781,10.350069189218011
case2_slippery_4x4,PPO,42000,5,0.48200000000000004,0.25912352266824407,0.22713178201211734,0.48200000000000004,0.25912352266824407,0.22713178201211734,0.495,0.28138052526783014,0.24664090496103844,29.656,12.011574834300454,10.528609555758061
case2_slippery_4x4,PPO,44000,5,0.44600000000000006,0.1961313335497416,0.17191669377928367,0.44600000000000006,0.1961313335497416,0.17191669377928367,0.531,0.21792774031774845,0.1910220866810956,29.083000000000006,11.954329027594982,10.478431393791723
case2_slippery_4x4,PPO,46000,5,0.485,0.21080203983832793,0.18477613482265504,0.485,0.21080203983832793,0.18477613482265504,0.491,0.2353029961560201,0.2062521699279792,30.212,11.678977159837244,10.237074840128892
case2_slippery_4x4,PPO,48000,5,0.5090000000000001,0.23883571759684522,0.20934873680058352,0.5090000000000001,0.23883571759684522,0.20934873680058352,0.46699999999999997,0.2605906751977131,0.22841779790550473,29.818999999999996,11.728955303009727,10.280882614133864
case2_slippery_4x4,PPO,50000,5,0.457,0.20717142660125695,0.18159376200739932,0.457,0.20717142660125695,0.18159376200739932,0.514,0.23255106965997813,0.20384,30.505000000000003,12.249315797219044,10.736998697773974
case2_slippery_4x4,PPO,52000,5,0.469,0.202651178136225,0.17763158953294314,0.469,0.202651178136225,0.17763158953294314,0.506,0.22711230702011728,0.1990727143533237,29.49,12.07468063759866,10.583924231210274
case2_slippery_4x4,PPO,54000,5,0.44899999999999995,0.19828640901483893,0.17380570071203072,0.44899999999999995,0.19828640901483893,0.17380570071203072,0.521,0.22567675999092152,0.19781440190238928,31.010999999999996,13.76963389128411,12.069616263228918
case2_slippery_4x4,PPO,56000,5,0.45899999999999996,0.17001470524634035,0.1490244597373196,0.45899999999999996,0.17001470524634035,0.1490244597373196,0.508,0.20017492350441898,0.1754610566479069,30.244999999999997,12.562882332490423,11.011851884401642
case2_slippery_4x4,PPO,58000,5,0.462,0.19434505396330518,0.17035095068710357,0.462,0.19434505396330518,0.17035095068710357,0.499,0.23319519720611742,0.20440460268790422,30.373999999999995,13.04666403721656,11.435905245392684
